cleaned_text,sentiment
woke up this morning to the news that i too have been impacted by the layoffs doordash as i am sure you all can imagine this comes as a major shock i loved my time at doordash i had planned to stay with this company the long haul i could have said enough good things about the recruiting organization and especially the team this was the greatest group of people i have had the honor to work with and i am so disappointed it ended early with all of that being said i am officially appreciate any leads,0
tata is hiring when world is firing as meta twitter others carry biggest layoffs tata announces to hire over tech workers offering specifically to professionals who have lost work in recently lay offs by companiesthis is not the first time tata rescued people recently tata also rescued air india company as thousands were at risk of losing jobs if the airline were to be shut it is mumbai attack in tailbot steel factory in orair india acquisition tata always step forward and support it people and give them a reason to smile salute to ratan tata sir and reshare this post so that world knows the power of tata credit abhishek praveen,0
ever wake up with a weird until last night and closed the laptop saw i was signed out of slack on my phone around midnight woke up at and had a feeling to check my email saw an email from doordash on my personal email noting i was impacted by a layoff second one this year recruiting leadership has been preaching we been doing well as a business i guess not totally transparent with us i want to apologize to all the candidates i in the process with this is not the candidate experience i ever like to have and is not a view of how i operate i am and looking forward to a company that truly values inclusiveness and different lived experiences feel free to reach out if you are hiring,0
i got laid off today i had a great job but could not escape the market realityreading the news about layoffs everywhere every day in the past few months i have been filled with gratitude about my job because i had one now that i do i equally grateful and proud of everything i achieved at pharmeasy i got to handle such great tasks because of the support i got from my leaders sarvagya jain kumar pushkar shrinivas ron kartik singhvi nitin chugh aditi bajaj dhani savla and my team members nikhil bhasin bichitra mohan nayak swaathi sree ananya sajwan i ready for more exciting things in my professional life so if you know someone who is hiring for an analytics role can you please tag them,2
for everyone impacted by recent layoffs i sorry about the bad news let us help as much as we can reku is hiring for many roles including senior leadership roles that are not listed on our jobs portal feel free to apply directly or dm me i believe companies should work for its people not the other way around so help us help you to find your next career home,2
writing this is shocking but i woke up this morning to discover my computer was shut off and i was impacted by the doordash layoffs while i am sad to have to leave the company i am very grateful for the experience and friends doordash has given me during my time there i sincerely apologize to all of the candidates that i in the process with as this is not the candidate experience i ever like to have and is not a view of how i operate with that being said i am officially i am excited to see what my next chapter holds i am looking forward to bringing my skills elsewhere,1
it was about pm last night and i was working late preparing for calibrations as i wanted to represent my team to the best of my ability it was also my first calibration at doordash because i recently joined after being at meta for almost years then my access to a doc expired i did think much and simply re requested access and continued to work for another mins and then i was logged out of my zoom account then my computer shut down i thought this was a sign i might be over preparing and it was time for bed but my laptop restarted and i saw that i was locked out by my administrator and needed a pin quickly i tried to email tech support with a screenshot and then knew something horrible may have happened as my work email rejected i tried not to panic and wake my wife up and i had no one to reach out to this late then i simply prayed for peace and tried my best to fall asleep but could i woke up to an email saying my role was eliminated due to etc etc so many emotions i am trying to process still as my young children will be waking up soon and the morning madness begins i knew the risk when i took this role and would not have tenure which probably meant security and stability if mass layoffs happened it still so tough to come to grips with as i been trying my best to actively help former meta colleagues as much as i can my brief time at doordash was great and believed i was making strong momentum with my team and client groups right away i will miss working with them i know at least a little the market conditions are brutal for tech recruiting let alone recruiting managers to all who have been impacted my blessings to you and your family will be happy to be available and help if i can i will press on and rely on god for strength,0
it was about pm last night and i was working late preparing for calibrations as i wanted to represent my team to the best of my ability it was also my first calibration at doordash because i recently joined after being at meta for almost years then my access to a doc expired i did think much and simply re requested access and continued to work for another mins and then i was logged out of my zoom account then my computer shut down i thought this was a sign i might be over preparing and it was time for bed but my laptop restarted and i saw that i was locked out by my administrator and needed a pin quickly i tried to email tech support with a screenshot and then knew something horrible may have happened as my work email rejected i tried not to panic and wake my wife up and i had no one to reach out to this late then i simply prayed for peace and tried my best to fall asleep but could i woke up to an email saying my role was eliminated due to etc etc so many emotions i am trying to process still as my young children will be waking up soon and the morning madness begins i knew the risk when i took this role and would not have tenure which probably meant security and stability if mass layoffs happened it still so tough to come to grips with as i been trying my best to actively help former meta colleagues as much as i can my brief time at doordash was great and believed i was making strong momentum with my team and client groups right away i will miss working with them i know at least a little the market conditions are brutal for tech recruiting let alone recruiting managers to all who have been impacted my blessings to you and your family will be happy to be available and help if i can i will press on and rely on god for strength,0
hi everyone i was impacted by a round of layoffs and am looking for a new role immediately thank you in advance for any connections advice or opportunities you can offer,2
hi everyone unfortunately this morning i found out that i was one of the many affected by the layoffs at doordash with that said i am looking for a new role within the training and enablement space and would appreciate your support thank you in advance for any connections advice or opportunities you can offer,0
