cleaned_text,sentiment
same folks said daikon paste could treat a cytokine storm,0
while the world has been on the wrong side of history this year hopefully the biggest vaccination effort we ev,2
russian vaccine is created to last years,2
facts are immutable senator even when you not ethically sturdy enough to acknowledge them you were born i,0
explain to me again why we need a vaccine,2
does anyone have any useful advice guidance for whether the covid vaccine is safe whilst breastfeeding,0
it is a bit sad to claim the fame for success of on patriotic competition between usa canada uk and,1
there have not been many bright days in but here are some of the best winning,2
covid vaccine you getting it,1
states will start getting monday says,0
while deaths are closing in on the mark millions of people wait the first u,0
best wishes to the us,2
the agency also released new information for health care providers and for patients as the us shipped millions of d,2
for all the women and healthcare providers who have been asking about the safety of the,2
expect sites across all the states to receive vaccine on monday another sites on tuesday said the offic,0
trump announces rollout in less than hours the first americans will be vaccinated against,0
updated amp part two,1
coronavirus iran reports new cases deaths in the last hours,0
will rake in billions from its expensive but refuses to cut the price for lowe,1
the trump administration failed to deliver on vaccine promises shocker,0
how much did the get paid to approve this all of a sudden now money makes the world go around,2
anyone wondering why day after approval in the uk people were getting vaccinated but all we are tol,0
trump announces rollout in less than hours the first americans will be vaccinated against,0
the us food and drug administration fda has granted emergency use authorization to pfizer biontech mrna,0
presenting you the top medical news advancement of the past week you do want to miss,2
of done and for making the dream poss,2
wear a mask wash your hands and remain socially distant when possible,2
approval apprentice style approve the or you,1
interesting and very detailed article showing up how a well tested with will help d,1
belong,2
deaths so far it only death nothing to worry about then,0
please do spread fake news there is no evidence that these cases are linked to the,0
the authorized the for the united states last night,2
all respect to due process but why not give approval now instead of the of december surely multiple other cou,0
vaccine anyone,0
an immigrant muslim couple find the vaccine,0
the finally issues now comes the problem transporting this vaccine needs to be kept at,0
ladies and gentlemen now we have experts in each and every household of,2
fact sheet for healthcare providers administering vaccine,2
check out table of this and other tables too because it took the penny a w,2
it the only one which does have any side effects the a,1
fact sheet for recipients and caregivers,1
trump announces rollout in less than hours the first americans will be vaccinated against,0
authorizes vaccine for emergency use,2
when the poisons enough of the left with side effects like or as they are flocking,0
dairy dose of dumbsville by,1
the us has approved two vaccines amp over are being develo,0
as gets set to approve roll out preparations pick up pace across meanwhile,1
news and updates public questioned whether he actually received the shot video footage appeared to show,0
tragedy another life taken by corporate greed and the evil pharmaceutical companies,0
i never been so excited to get a vaccine,0
building on last week trial run and extending our vaccination programme this week so much effort going on b,2
the first vaccine doses have arrived in oregon watch from am tomorrow for det,2
has told the world health organization it does not intend to import the bec,0
concerned about the side effects of the vaccine check out my recap,1
such a great feeling a big thank you to all the healthcare professionals scientists nurses doctors caregivers,2
members of the delivered the first this morning,2
getting my first dose of the next weekend and seeing this just made it so r,2
will you be taking the vaccine once available to you,2
that rempel trudeau exchange had to be seen to be believed i saw it too,0
new york state administered its first non trial vaccine this morning to a health care worker the p,0
female sterilization untested no liabilities,0
key milestone achieved with shutting down amp of untested no l,2
says shipments of the vaccine will continue to ship to missouri vaccinat,0
are germany based lets just hope the small numbers are,1
icu nurse sandra lindsay said she was very proud after becoming one of the first americans to receive the pfizer,2
screenshot of that exchange unfortunately hansard does not c,0
as a physician currently with covid i cried,0
unfortunately hansard does not capture all the aggro finger pointing and desk thumping that were a,0
hallo the unroll you asked for updated clinical guidel,1
odd verb choice there doug you were on hand to observe to welcome as anita anand put it under,1
the first ontarian was vaccinated just minutes later a psw anita quidangen in toronto,0
would you take the vaccine listen to the expert untested,0
over the weekend the issued guidance for pilots following use of the new for,1
the scientists husband wife are saving the world with their,2
surprised to learn those with autoimmune conditions or otherwise immunosuppressed are advised not to receive the,0
or how about erin hand picked health critic going even further,1
where did the money go if not to the covid pioneers and asking for a friend klan,0
how the vaccine works this article made a detailed explanation,1
it is a new type of vaccine that man is so daft it hurts my ears listening to him the biggest question,0
did you actually read the global news article jagmeet this tweet embedded therein j,0
first vaccinations today thank you to everyone stepping up and getting it,2
